package_code,package_name,specialty,max_package_rate_inr,covered,icd10_code_hint
PMJAY-CARD-001,Percutaneous Coronary Intervention (PCI) with Stent,Cardiology,120000,True,I25.10
PMJAY-CARD-002,Coronary Artery Bypass Graft (CABG),Cardiology,180000,True,I25.10
PMJAY-CARD-003,Permanent Pacemaker Implantation,Cardiology,95000,True,I44.2
PMJAY-CARD-004,Primary Angioplasty in Acute Myocardial Infarction,Cardiology,135000,True,I21.0
PMJAY-CARD-005,Mitral Valve Replacement,Cardiology,165000,True,I35.0
PMJAY-CARD-006,Aortic Valve Replacement,Cardiology,175000,True,I35.0
PMJAY-CARD-007,Balloon Mitral Valvuloplasty,Cardiology,65000,True,I05.0
PMJAY-CARD-008,Radiofrequency Ablation for Arrhythmia,Cardiology,75000,True,I47.2
PMJAY-CARD-009,ASD Closure (Transcatheter),Cardiology,85000,True,Q21.1
PMJAY-CARD-010,VSD Closure (Surgical),Cardiology,110000,True,Q21.0
PMJAY-CARD-011,Pericardiectomy,Cardiology,55000,True,I31.1
PMJAY-CARD-012,Implantation of AICD (Defibrillator),Cardiology,195000,True,I47.2
PMJAY-CARD-013,Cardiac Resynchronization Therapy (CRT-D),Cardiology,200000,True,I50.9
PMJAY-CARD-014,Peripheral Angioplasty,Cardiology,60000,True,I73.9
PMJAY-CARD-015,Coarctation of Aorta Repair,Cardiology,125000,True,Q25.1
PMJAY-RESP-001,Fiberoptic Bronchoscopy with Biopsy,Respiratory,12000,True,J44.9
PMJAY-RESP-002,Thoracoscopy and Pleural Biopsy,Respiratory,18000,True,J90
PMJAY-RESP-003,Intercostal Drainage Insertion for Pneumothorax,Respiratory,15000,True,J93.9
PMJAY-RESP-004,Decortication of Lung for Empyema,Respiratory,65000,True,J86.9
PMJAY-RESP-005,Lobectomy for Lung Cancer,Respiratory,130000,True,C34.9
PMJAY-RESP-006,Pneumonectomy,Respiratory,150000,True,C34.9
PMJAY-RESP-007,Mechanical Ventilation in Severe ARDS,Respiratory,45000,True,J80
PMJAY-RESP-008,Rigid Bronchoscopy for Foreign Body Removal,Respiratory,22000,True,T17.5
PMJAY-RESP-009,Tracheostomy,Respiratory,20000,True,J95.0
PMJAY-RESP-010,Pleurodesis for Recurrent Pleural Effusion,Respiratory,16000,True,J90
PMJAY-RESP-011,Bronchial Artery Embolization for Hemoptysis,Respiratory,50000,True,R04.2
PMJAY-RESP-012,Sleep Apnea Titration & CPAP Management,Respiratory,14000,True,G47.3
PMJAY-RESP-013,Pulmonary Thromboendarterectomy,Respiratory,185000,True,I26.9
PMJAY-RESP-014,Excision of Mediastinal Mass,Respiratory,85000,True,D15.2
PMJAY-RESP-015,Diaphragmatic Hernia Repair,Respiratory,60000,True,K44.9
PMJAY-GAST-001,Laparoscopic Cholecystectomy,Gastroenterology,35000,True,K80.20
PMJAY-GAST-002,Open Appendectomy,Gastroenterology,25000,True,K35.80
PMJAY-GAST-003,Laparoscopic Appendectomy,Gastroenterology,32000,True,K35.80
PMJAY-GAST-004,Endoscopic Retrograde Cholangiopancreatography (ERCP),Gastroenterology,38000,True,K83.0
PMJAY-GAST-005,Endoscopic Variceal Ligation (EVL),Gastroenterology,18000,True,I85.0
PMJAY-GAST-006,Open Inguinal Hernia Repair,Gastroenterology,22000,True,K40.90
PMJAY-GAST-007,Laparoscopic Ventral Hernia Repair with Mesh,Gastroenterology,45000,True,K43.9
PMJAY-GAST-008,Distal Gastrectomy for Gastric Cancer,Gastroenterology,110000,True,C16.9
PMJAY-GAST-009,Whipple Procedure (Pancreaticoduodenectomy),Gastroenterology,190000,True,C25.9
PMJAY-GAST-010,Colectomy (Total / Partial),Gastroenterology,95000,True,C18.9
PMJAY-GAST-011,Splenectomy,Gastroenterology,48000,True,D73.5
PMJAY-GAST-012,Liver Resection for Hepatic Mass,Gastroenterology,140000,True,C22.0
PMJAY-GAST-013,Perineal Abscess Drainage,Gastroenterology,15000,True,K61.0
PMJAY-GAST-014,Haemorrhoidectomy (Stapled),Gastroenterology,28000,True,K64.9
PMJAY-GAST-015,Diagnostic Upper GI Endoscopy with Biopsy,Gastroenterology,8000,True,K29.7
PMJAY-NEUR-001,Craniotomy for Brain Tumor Resection,Neurology,145000,True,C71.9
PMJAY-NEUR-002,Decompressive Craniotomy for Traumatic Brain Injury,Neurology,95000,True,S06.5
PMJAY-NEUR-003,Ventriculoperitoneal (VP) Shunt for Hydrocephalus,Neurology,42000,True,G91.9
PMJAY-NEUR-004,Microvascular Decompression for Trigeminal Neuralgia,Neurology,85000,True,G50.0
PMJAY-NEUR-005,Endovascular Coiling of Cerebral Aneurysm,Neurology,190000,True,I67.1
PMJAY-NEUR-006,Laminectomy & Discectomy for Lumbar Disc Herniation,Neurology,65000,True,M51.2
PMJAY-NEUR-007,Anterior Cervical Discectomy and Fusion (ACDF),Neurology,98000,True,M50.2
PMJAY-NEUR-008,Excision of Spinal Cord Tumor,Neurology,135000,True,D33.4
PMJAY-NEUR-009,Carotid Endarterectomy,Neurology,115000,True,I65.2
PMJAY-NEUR-010,Thrombolysis in Acute Ischemic Stroke,Neurology,55000,True,I63.9
PMJAY-NEUR-011,Subdural Hematoma Evacuation,Neurology,50000,True,S06.5
PMJAY-NEUR-012,Nerve Biopsy,Neurology,12000,True,G62.9
PMJAY-NEUR-013,Temporal Lobe Resection for Intractable Epilepsy,Neurology,125000,True,G40.9
PMJAY-NEUR-014,Transsphenoidal Resection of Pituitary Adenoma,Neurology,110000,True,D35.2
PMJAY-NEUR-015,Peripheral Nerve Decompression,Neurology,25000,True,G56.0
PMJAY-ORTH-001,Total Knee Arthroplasty (TKA),Orthopaedics,135000,True,M17.9
PMJAY-ORTH-002,Total Hip Arthroplasty (THA),Orthopaedics,145000,True,M16.9
PMJAY-ORTH-003,Open Reduction and Internal Fixation (ORIF) Femur,Orthopaedics,55000,True,S72.0
PMJAY-ORTH-004,ORIF Tibia / Fibula Fracture,Orthopaedics,42000,True,S82.2
PMJAY-ORTH-005,Arthroscopic ACL Reconstruction,Orthopaedics,68000,True,S83.5
PMJAY-ORTH-006,Arthroscopic Meniscectomy,Orthopaedics,38000,True,M23.2
PMJAY-ORTH-007,Spine Fusion Surgery (Posterior Lumbar),Orthopaedics,110000,True,M43.1
PMJAY-ORTH-008,ORIF Radius / Ulna Fracture,Orthopaedics,35000,True,S52.5
PMJAY-ORTH-009,Hemiarthroplasty of Hip,Orthopaedics,75000,True,S72.0
PMJAY-ORTH-010,Correction of Clubfoot / Talipes Equinovarus,Orthopaedics,30000,True,Q66.0
PMJAY-ORTH-011,Sequestrectomy & Debridement for Osteomyelitis,Orthopaedics,40000,True,M86.9
PMJAY-ORTH-012,Excision of Bone Tumor with Reconstruction,Orthopaedics,125000,True,C40.9
PMJAY-ORTH-013,Rotator Cuff Repair (Arthroscopic),Orthopaedics,62000,True,M75.1
PMJAY-ORTH-014,External Fixation of Open Fracture,Orthopaedics,45000,True,S82.9
PMJAY-ORTH-015,Tendon Transfer / Reconstruction,Orthopaedics,28000,True,M79.8
PMJAY-UROL-001,Transurethral Resection of Prostate (TURP),Urology,42000,True,N40.1
PMJAY-UROL-002,Percutaneous Nephrolithotomy (PCNL) for Renal Calculi,Urology,48000,True,N20.0
PMJAY-UROL-003,Ureteroscopic Lithotripsy (URSL) with DJ Stenting,Urology,35000,True,N20.1
PMJAY-UROL-004,Radical Nephrectomy for Renal Cell Carcinoma,Urology,115000,True,C64.9
PMJAY-UROL-005,Radical Cystectomy with Urinary Diversion,Urology,160000,True,C67.9
PMJAY-UROL-006,Pyeloplasty for Pelviureteric Junction Obstruction,Urology,52000,True,N13.0
PMJAY-UROL-007,Extracorporeal Shock Wave Lithotripsy (ESWL),Urology,22000,True,N20.9
PMJAY-UROL-008,Transurethral Resection of Bladder Tumor (TURBT),Urology,38000,True,C67.9
PMJAY-UROL-009,Hypospadias Repair,Urology,45000,True,Q54.9
PMJAY-UROL-010,Orchidopexy for Undescended Testis,Urology,30000,True,Q53.9
PMJAY-UROL-011,AV Fistula Creation for Hemodialysis Access,Urology,18000,True,N18.9
PMJAY-UROL-012,Radical Prostatectomy,Urology,140000,True,C61
PMJAY-UROL-013,Internal Urethrotomy (VIU) for Urethral Stricture,Urology,25000,True,N35.9
